phot,bg,filenumber,frame,numberInGroup,x,y,z,locprec,locprecz
22885.28,572.6287,1,2372,4,547.7587,278.6143,-173.2124,3.355418,10.97208
4506.673,149.6096,1,2376,1,525.7962,241.1322,-231.0415,9.307706,30.39795
33149.49,1008.481,1,2457,10,407.4464,191.3141,-139.17,2.898164,10.00455
4899.835,102.4939,1,2421,1,442.4353,189.18,-193.0934,7.339491,23.60394
2364.49,96.80305,1,2426,1,389.614,198.7159,-114.4391,11.40005,42.28472
5483.231,79.91185,1,2455,1,365.893,177.9221,-164.7337,6.096057,19.69466
7250.409,109.0606,1,2460,1,373.4884,179.5582,-207.3064,5.736523,18.07392
5715.674,87.88655,1,2462,1,369.3708,176.3093,-173.839,6.118703,19.64735
9033.379,325.4038,1,2478,4,538.7085,271.7217,-122.9544,5.702124,20.59225
3411.596,97.10286,1,2537,1,237.2493,139.986,15.3613,8.549455,28.42948
2572.966,88.51684,1,2586,1,615.6199,241.4904,-139.3803,10.62642,38.42428
2098.13,71.50336,1,2596,1,586.5056,213.6191,-188.1634,12.6467,42.32795
5977.056,184.7755,1,2683,2,444.216,145.8641,-77.97584,6.705522,23.36406
2786.369,99.61655,1,2682,1,430.0638,149.7663,-3.223298,10.01095,34.54364
2319.973,122.1316,1,2709,1,617.7053,195.3429,-39.65297,12.17597,44.75206
5546.139,147.0569,1,2751,2,465.5973,294.4424,-135.4766,6.722875,23.76686
2452.78,100.4374,1,2750,1,458.4249,298.9173,-107.4438,11.14846,41.44749
6468.819,240.1467,1,2759,2,655.9549,164.9517,-126.9649,6.926619,24.15728
16942.2,352.8083,1,2797,4,327.0758,335.0547,-143.6028,3.561336,11.9232
2530.745,101.051,1,2765,1,371.4889,388.4111,-201.8762,12.41839,41.62254
3489.491,88.35519,1,2796,1,353.3361,312.6681,-129.8396,8.317507,29.51179
12019.19,424.2225,1,2802,4,527.2347,265.6526,-77.60545,4.721311,16.97811
2757.441,92.56436,1,2805,1,632.8274,197.6639,-116.2596,9.993341,36.48796
2739.323,117.7367,1,2832,1,479.1676,35.68666,-120.0727,10.86196,40.21248
2946.516,65.13923,1,2858,1,512.6187,248.4507,-160.1079,9.077562,30.50782
8062.337,292.1244,1,2898,3,433.3479,220.0643,-70.70264,5.801635,20.88313
3394.856,76.1106,1,2901,1,460.6956,309.0891,-14.19643,7.926885,26.79397
2517.012,87.34872,1,3040,1,433.9796,244.3755,-78.82648,10.39671,37.5981
7975.818,237.9926,1,3044,3,599.3187,286.6013,-96.97875,5.62242,20.23705
5148.825,232.1806,1,3059,2,493.2236,277.2203,-140.967,8.325438,29.73279
20452.6,421.0091,1,3086,5,392.0308,315.8015,-149.2826,3.288819,10.92937
4940.437,89.29482,1,3082,1,370.4978,307.4219,-123.5918,6.416864,22.10422
5773.736,163.2623,1,3105,2,518.7983,289.9685,-115.0406,6.596947,23.59122
2589.616,92.27253,1,3114,1,412.7207,108.01,-150.0564,10.87665,38.59536
2373.562,68.90739,1,3116,1,490.2074,204.5129,-142.7397,10.59169,37.6156
40251.69,710.0531,1,3167,7,450.2131,307.3735,-133.4252,2.255945,7.546925
4036.589,88.33465,1,3162,1,456.5224,331.7366,-129.1692,7.456049,26.12209
2146.742,82.61595,1,3185,1,447.1788,220.3713,-194.7195,13.15087,44.01527
16854.5,292.1901,1,3217,4,653.8915,288.871,-175.9653,3.635097,11.57554
8180.751,257.4673,1,3224,3,397.3503,231.5722,-60.05289,5.574915,19.78711
3354.212,100.7287,1,3227,1,431.5349,246.8498,-66.9176,8.616501,30.51113
8131.761,191.6272,1,3257,2,670.7592,320.7797,-112.0468,5.302377,18.60922
5832.885,165.4937,1,3291,2,624.058,224.5917,-105.1842,6.491802,23.3834
2744.401,93.31562,1,3290,1,596.6596,255.2416,-12.22499,9.860234,34.35263
2395.175,131.0477,1,3351,1,561.8185,328.0698,-22.16098,12.19518,44.50583
5420.498,152.241,1,3362,2,295.5889,328.6149,-193.3003,7.47436,24.46688
15873.89,198.066,1,3372,2,456.8742,191.1214,-13.93763,3.235497,10.32559
1871.901,50.12045,1,3391,1,396.1045,226.808,-213.6676,13.14511,42.93018
2311.668,65.39468,1,3394,1,427.2326,304.9246,-94.63313,10.27361,37.00161
2384.846,73.23012,1,3403,1,541.939,197.6039,-91.8711,10.31835,37.50251
3086.161,102.9965,1,3449,1,546.4539,256.8707,-99.21043,9.350097,33.89
7117.71,218.8007,1,3491,3,436.5144,190.0592,-154.815,6.328513,21.71539
2295.59,81.98203,1,3562,1,459.7266,172.9514,-124.2596,11.24884,41.0768
7903.73,178.4754,1,3591,3,587.3115,244.8703,-54.00836,5.173721,17.63643
9347.551,198.8315,1,3607,3,494.8452,186.4413,-127.2895,4.889392,16.86907
3418.748,94.112,1,3608,1,406.3682,250.0357,-36.76475,8.312062,28.70444
4327.178,72.74203,1,3651,1,366.2434,183.6215,-153.8002,6.966666,23.13876
2777.015,105.2438,1,3669,1,436.8155,216.5314,-123.0921,10.40399,38.03103
9894.039,331.6672,1,3732,4,562.6588,215.7223,-105.3662,5.300623,18.73036
2259.718,88.68433,1,3763,1,581.29,274.8077,-119.5118,11.6265,42.66901
13741.8,416.0009,1,3798,4,476.0739,189.2482,-133.2064,4.550963,15.589
3820.729,91.42725,1,3797,1,449.1276,158.9157,-34.79362,7.575906,25.9119
4537.084,194.0713,1,3830,2,675.2142,298.6968,-153.3812,8.75414,31.13207
2219.025,67.78699,1,3834,1,618.087,301.4463,-120.7299,10.91359,39.33772
3448.827,82.03175,1,3890,1,579.4777,114.6349,-100.7619,8.070047,28.46644
3786.898,60.29995,1,3920,1,508.6448,232.7737,-105.9065,7.031919,23.94725
6849.849,174.0305,1,3937,2,312.8835,274.8061,-203.7583,6.660473,21.74084
16500.46,453.3768,1,3944,4,466.1491,210.3498,-85.20356,3.675768,12.63895
2508.924,98.92233,1,3987,1,541.4927,333.8638,21.8636,11.03395,37.21625
5932.257,167.937,1,4111,2,382.2891,158.838,-164.5926,7.000432,23.99994
2662.317,62.31956,1,4110,1,355.5531,163.0089,-141.2459,9.457907,32.95419
3912.524,114.853,1,4113,1,364.9632,181.7161,-121.9446,8.106819,29.25138
3380.838,77.14989,1,4130,1,428.8405,19.13701,-207.5316,9.259892,30.04756
4038.443,63.59559,1,4140,1,628.8206,456.5487,-70.32455,6.716554,22.54722
12437.85,210.1292,1,4154,2,469.3403,285.5066,-75.18367,3.884359,13.22027
3962.849,106.6638,1,4199,1,570.4,253.0262,-196.8085,8.769832,28.65848
6956.938,80.14378,1,4201,1,501.5563,259.7186,-119.3795,4.931695,16.25316
2902.45,78.55981,1,4210,1,326.1701,234.7101,-51.96148,8.970254,31.2919
4832.043,106.3067,1,4213,1,420.1809,240.4279,-62.38887,6.612211,22.72273
9120.204,313.6763,1,4247,4,312.8006,217.3268,-134.3209,5.639824,20.11012
41040.13,1094.456,1,4321,12,534.9115,295.5525,-109.6964,2.437698,8.523415
2914.995,99.35844,1,4312,1,519.2682,309.4575,-115.3739,9.768283,35.59452
10842.08,167.3105,1,4326,2,508.0665,179.8493,-88.47064,4.132206,13.64826
55807.65,980.2072,1,4373,10,451.7892,295.6469,-113.5835,1.919028,6.294553
5313.631,75.50972,1,4369,1,443.5247,290.8302,-80.96782,5.745799,19.30308
5162.152,221.7237,1,4377,2,481.0701,246.0511,-108.562,7.852391,28.75508
13773.02,258.0458,1,4387,3,571.3606,268.8597,-124.2853,3.914235,12.94677
2569.329,124.1398,1,4418,1,384.4819,221.1405,15.94617,11.5688,39.67809
10844.2,257.7865,1,4469,3,474.7009,298.0987,-118.4249,4.604976,15.48777
5457.491,86.21284,1,4467,1,500.3125,291.4783,-126.382,5.960044,20.21511
6493.059,152.1808,1,4495,2,564.4317,178.5202,-129.9759,5.967033,20.80291
10874.15,351.0995,1,4530,3,570.4985,171.4389,-55.23267,5.0231,17.16948
2726.536,107.8765,1,4524,1,603.7262,235.5539,-110.4797,10.47365,38.82728
5096.916,93.94774,1,4529,1,650.8922,221.0894,16.88565,6.295579,20.14233
20808.68,509.6917,1,4553,7,421.091,271.222,-137.8201,3.427837,11.77712
2208.792,79.24135,1,4548,1,420.1197,272.3535,-91.21173,11.25356,41.20977
17233.27,447.2879,1,4632,4,674.76,190.8886,-81.03219,3.711052,12.83106
3998.251,89.4274,1,4631,1,664.5915,164.045,-1.934541,7.36591,24.36251
2733.031,68.18011,1,4661,1,311.7224,205.1412,-160.2043,9.750079,32.92538
11697.3,133.4975,1,4733,2,268.9787,401.1086,-20.66246,3.695691,11.72298
7988.487,228.1586,1,4761,3,494.2281,222.9421,-57.64156,5.560883,19.36912
2064.909,90.33084,1,4759,1,498.6786,200.699,-18.56525,12.19082,43.82978
18439.76,397.4085,1,4789,5,497.7959,258.5488,-102.2035,3.425043,11.83771
3232.231,95.98854,1,4781,1,526.5988,269.787,18.19035,8.957265,29.48196
2749.961,52.95867,1,4787,1,497.2553,251.1663,-194.2402,9.619174,30.80599
2311.056,61.89867,1,4791,1,511.0299,262.1209,-151.1512,10.65177,36.84541
12022.18,304.471,1,4794,3,413.3431,244.9369,-145.7248,4.579635,15.8117
24441.95,657.691,1,4843,7,530.0641,206.0104,-76.95944,3.066932,10.81104
5242.914,187.9549,1,4898,2,377.6715,246.728,-101.3538,7.357859,26.80302
2249.292,82.38802,1,5046,1,584.9654,199.1608,-140.6655,11.64493,42.03587
5376.295,78.10661,1,5050,1,574.9256,224.4439,-221.1454,6.801593,21.22012
2877.353,94.98895,1,5052,1,505.2218,240.2698,-190.1294,10.72583,35.78995
14157.77,289.4666,1,5100,3,397.9549,369.8292,-101.5741,3.969395,13.07282
10538.6,259.3335,1,5185,4,411.324,179.5663,-157.9734,4.893263,16.53845
4150.549,43.80613,1,5188,1,538.0405,154.3365,-29.10461,6.120035,19.34266
22202.07,318.2017,1,5200,5,454.7565,266.4521,-106.5065,2.839252,9.470509
25761.17,567.0333,1,5227,7,460.4772,198.6313,-139.9744,2.990628,10.26052
2202.617,52.56773,1,5223,1,526.2718,229.1492,-222.5938,11.93841,38.56435
19818.44,516.7352,1,5309,6,574.419,116.9875,-61.80798,3.363546,11.70004
4277.27,87.07404,1,5260,1,553.9808,171.2016,-56.18946,6.883153,23.48789
2186.278,62.16259,1,5304,1,599.1144,112.9607,-150.2536,11.10916,38.67405
3160.093,80.30506,1,5308,1,587.3093,106.2492,-111.7891,8.635163,30.61978
3440.299,73.59463,1,5311,1,604.3169,100.0064,-110.5562,7.923997,27.68069
43454.93,546.09,1,5318,7,696.822,164.506,-108.2839,1.957008,6.376309
17614.68,354.6916,1,5379,5,549.4044,154.7308,-113.7207,3.463386,11.9844
10173.55,151.2105,1,5388,2,511.8292,304.7614,-140.5694,4.376481,14.52571
2336.579,76.31327,1,5390,1,560.3535,303.5898,-129.7199,10.95115,39.46539
5226.529,166.3101,1,5410,2,399.2884,305.7675,11.26345,7.080177,23.7117
3602.562,128.9977,1,5435,1,482.0054,172.4996,-49.72709,8.665867,31.12034
8786.24,213.7072,1,5437,2,397.9952,191.7487,-107.1607,5.088912,18.04634
78661.4,1107.718,1,5511,13,479.708,271.8633,-96.36133,1.494289,4.909454
2790.352,72.34901,1,5468,1,549.7456,254.5513,-25.31303,9.150685,34.0995
3310.026,62.12594,1,5497,1,589.119,232.395,-110.7999,7.83042,27.05974
6178.319,94.12415,1,5509,1,461.7546,257.8547,-196.3135,6.1265,19.25634
8024.479,196.6281,1,5532,2,545.5896,283.7716,-56.43096,5.176635,17.60188
10242.78,123.2601,1,5533,1,471.3745,236.8711,-133.7499,4.152345,13.65854
12820.73,326.4023,1,5540,4,534.7083,160.649,-63.93251,4.174713,14.52408
3113.586,72.52203,1,5538,1,533.8926,163.0932,-39.33517,8.320829,28.4747
12921.63,274.6008,1,5573,4,634.2792,248.2709,-85.70819,4.015638,14.02785
13235.92,348.2137,1,5637,5,336.7659,216.0553,-198.1475,4.779885,15.66005
13549.81,326.4531,1,5657,4,484.2451,328.7316,-191.1796,4.584443,15.17464
6678.334,142.7828,1,5654,2,446.6657,325.1293,-179.6845,6.168165,20.26539
